GRADE,year,month,grade_production,total_monthly_production,grade_mix_percentage,heat_count
S45CS1V,2023,10,111.8787837372669,37972.927349791105,0.29,2
S45CP3,2023,10,111.3496348710638,37972.927349791105,0.29,2
SAE5150,2023,10,109.0515804907195,37972.927349791105,0.29,2
VS14250,2023,10,104.92111695951681,37972.927349791105,0.28,2
C45MOD2,2023,10,107.82131616163781,37972.927349791105,0.28,2
SAE4135H,2023,10,103.5251998604909,37972.927349791105,0.27,2
C45RPBHH,2023,10,102.6002424400678,37972.927349791105,0.27,2
S45CQDS,2023,10,62.7570815557518,37972.927349791105,0.17,1
C70S6,2023,10,62.7570815557518,37972.927349791105,0.17,1
SCR420,2023,10,59.2988948518202,37972.927349791105,0.16,1
GRADE2,2023,10,60.5387388075428,37972.927349791105,0.16,1
UC1,2023,10,61.3850903698959,37972.927349791105,0.16,1
S70CVS1,2023,10,61.4117740478338,37972.927349791105,0.16,1
AISI434MO,2023,10,55.1684377606377,37972.927349791105,0.15,1
N52,2023,10,57.6640981102554,37972.927349791105,0.15,1
EN52,2023,10,56.6061052410519,37972.927349791105,0.15,1
S25C,2023,10,56.7653664170036,37972.927349791105,0.15,1
AISI1117,2023,10,57.2053418608169,37972.927349791105,0.15,1
AISI420VS,2023,10,58.2127419234873,37972.927349791105,0.15,1
AISI420VL,2023,10,56.6209664386754,37972.927349791105,0.15,1
S115C,2023,10,56.0995695189356,37972.927349791105,0.15,1
SAE8617H,2023,10,55.0783636815579,37972.927349791105,0.15,1
SCM435,2023,10,57.2291716352644,37972.927349791105,0.15,1
52CRMOV4,2023,10,55.1865233275727,37972.927349791105,0.15,1
AISI434MO1,2023,10,53.6552570642006,37972.927349791105,0.14,1
EN19,2023,10,53.5021765796689,37972.927349791105,0.14,1
53CG,2023,10,54.2198303284375,37972.927349791105,0.14,1
V252550,2023,10,52.8057170068497,37972.927349791105,0.14,1
E3250,2023,10,52.1041467204822,37972.927349791105,0.14,1
SAE8319,2023,10,54.6322853737813,37972.927349791105,0.14,1
C15M,2023,10,52.9273631017845,37972.927349791105,0.14,1
SAE59254,2023,10,52.8626239333966,37972.927349791105,0.14,1
SAE1030,2023,10,54.0631000206908,37972.927349791105,0.14,1
C56E2,2023,10,53.701748073316,37972.927349791105,0.14,1
SCM420H3V2,2023,10,53.5546594311897,37972.927349791105,0.14,1
SAE4135,2023,10,53.4911202507879,37972.927349791105,0.14,1
S40C,2023,10,52.4347036548136,37972.927349791105,0.14,1
SCR415HN,2023,10,52.2153259361093,37972.927349791105,0.14,1
16MNCR5D,2023,10,48.5883737530117,37972.927349791105,0.13,1
SAE1144,2023,10,49.1263090639453,37972.927349791105,0.13,1
NITRAALLO,2023,10,49.3156869881367,37972.927349791105,0.13,1
SAE8720M,2023,10,51.0793347032885,37972.927349791105,0.13,1
C70S6K,2023,10,48.1300240186809,37972.927349791105,0.13,1
X22,2023,10,49.4491264302559,37972.927349791105,0.13,1
GTD450,2023,10,48.1300240186809,37972.927349791105,0.13,1
SAE8650,2023,10,49.4030994451194,37972.927349791105,0.13,1
S43C,2023,10,48.2364243172053,37972.927349791105,0.13,1
SAE1541,2023,10,48.1300240186809,37972.927349791105,0.13,1
S48CS1V,2023,9,2252.806153461324,36096.79905998615,6.24,40
S48C,2023,9,1914.1442815313812,36096.79905998615,5.3,34
38MNVS6,2023,9,1619.7596501679209,36096.79905998615,4.49,28
16MNCR5,2023,9,1018.3843663065812,36096.79905998615,2.82,18
DY7,2023,9,993.7298761789394,36096.79905998615,2.75,18
SCM420HV,2023,9,953.8952658448503,36096.79905998615,2.64,16
SAE52100,2023,9,949.1086018461596,36096.79905998615,2.63,17
12L14,2023,9,663.7802991243733,36096.79905998615,1.84,12
SSR550,2023,9,641.6256808779739,36096.79905998615,1.78,12
38MNS6,2023,9,624.6001637118566,36096.79905998615,1.73,11
SCR420HV,2023,9,590.2320842786824,36096.79905998615,1.64,10
41CR4,2023,9,572.8675529666326,36096.79905998615,1.59,10
GRADE3,2023,9,572.1229527491731,36096.79905998615,1.58,10
SAE9254,2023,9,569.1404648972228,36096.79905998615,1.58,10
SCM415HV,2023,9,570.9111068490998,36096.79905998615,1.58,10
S45CS1QDS,2023,9,567.7534261685089,36096.79905998615,1.57,10
60SI7,2023,9,562.5297628056657,36096.79905998615,1.56,10
20MNCR5,2023,9,543.6902259206546,36096.79905998615,1.51,10
SUP9,2023,9,507.80103451026406,36096.79905998615,1.41,9
EN18D,2023,9,494.358373308173,36096.79905998615,1.37,9
16MNCR5LSI,2023,9,494.0402366570464,36096.79905998615,1.37,9
AISI430L,2023,9,477.75111100936766,36096.79905998615,1.32,9
60SICR8,2023,9,477.97511212127006,36096.79905998615,1.32,9
SCR420H,2023,9,456.09415878776434,36096.79905998615,1.26,8
S53CG,2023,9,393.4477154458563,36096.79905998615,1.09,7
SCR420,2023,9,394.5043381435215,36096.79905998615,1.09,7
S35C,2023,9,388.4324190991253,36096.79905998615,1.08,7
SAE1050,2023,9,389.056800986038,36096.79905998615,1.08,7
100CR6,2023,9,384.650492353477,36096.79905998615,1.07,7
SUP11A,2023,9,349.60846920869824,36096.79905998615,0.97,6
56SICR7,2023,9,341.7718170300774,36096.79905998615,0.95,6
SCM415,2023,9,340.5346553264655,36096.79905998615,0.94,6
51CRV4,2023,9,337.5433893524503,36096.79905998615,0.94,6
AISI420,2023,9,313.6342506215984,36096.79905998615,0.87,6
38MNSIVS6,2023,9,288.88320597139654,36096.79905998615,0.8,5
SCM415H,2023,9,287.0428176021392,36096.79905998615,0.8,5
38MNVS5,2023,9,285.7050654448941,36096.79905998615,0.79,5
SUP11AM,2023,9,284.0588255640948,36096.79905998615,0.79,5
94B17H,2023,9,282.6341580903129,36096.79905998615,0.78,5
EN19C,2023,9,281.8615067552995,36096.79905998615,0.78,5
C45MOD2,2023,9,279.1055135287732,36096.79905998615,0.77,5
SAE1015,2023,9,275.9296502917796,36096.79905998615,0.76,5
SCM435,2023,9,227.3055702407251,36096.79905998615,0.63,4
52CRMOV4,2023,9,225.6761002856303,36096.79905998615,0.63,4
EN8D,2023,9,226.9331004310016,36096.79905998615,0.63,4
38B3,2023,9,223.6133038888268,36096.79905998615,0.62,4
EN1A,2023,9,223.0748464246845,36096.79905998615,0.62,4
45C8,2023,9,220.78298253695678,36096.79905998615,0.61,4
EN353,2023,9,215.8486893823579,36096.79905998615,0.6,4
SCM435H,2023,9,215.696369237056,36096.79905998615,0.6,4
C45,2023,9,212.0625569645758,36096.79905998615,0.59,4
GRADE2,2023,9,208.4180263512022,36096.79905998615,0.58,4
AISI410,2023,9,199.3730231725699,36096.79905998615,0.55,4
S45C,2023,9,178.5904869042911,36096.79905998615,0.49,3
52CRMO2V,2023,9,178.0109186754937,36096.79905998615,0.49,3
SCM420HVI,2023,9,171.5201615968997,36096.79905998615,0.48,3
WSS340A2,2023,9,171.0571202194261,36096.79905998615,0.47,3
WSSMIA340A,2023,9,168.0220408292039,36096.79905998615,0.47,3
15B41M,2023,9,171.1985764221154,36096.79905998615,0.47,3
S45CSQDS1,2023,9,169.0433786695317,36096.79905998615,0.47,3
44MNSIVS6,2023,9,169.0218321081218,36096.79905998615,0.47,3
SAE1548,2023,9,170.2916067386402,36096.79905998615,0.47,3
WSSMIA340,2023,9,165.1576786098539,36096.79905998615,0.46,3
SCM420HVC,2023,9,164.3182807387796,36096.79905998615,0.46,3
EN8C,2023,9,164.4969884161676,36096.79905998615,0.46,3
SAE15B41H,2023,9,166.8915011331698,36096.79905998615,0.46,3
SCM420H2V2,2023,9,161.4527037532958,36096.79905998615,0.45,3
EN19,2023,9,163.4717182995699,36096.79905998615,0.45,3
C70S6,2023,9,163.24783615236748,36096.79905998615,0.45,3
430L,2023,9,160.6875797339558,36096.79905998615,0.45,3
16MNCR5H,2023,9,157.6285860761153,36096.79905998615,0.44,3
EN9,2023,9,156.7052085851797,36096.79905998615,0.43,3
35MN6MO3,2023,9,155.2974045387833,36096.79905998615,0.43,3
S48CSS1V,2023,9,148.5071021558507,36096.79905998615,0.41,3
SAE1030,2023,9,118.0232522585264,36096.79905998615,0.33,2
25MOCR4,2023,9,118.4591907236152,36096.79905998615,0.33,2
SAE8617H,2023,9,116.4543878050511,36096.79905998615,0.32,2
SCM420H,2023,9,116.4523256460092,36096.79905998615,0.32,2
40CR4C,2023,9,116.11363537150271,36096.79905998615,0.32,2
EN52,2023,9,117.22484880577571,36096.79905998615,0.32,2
34CRMO4,2023,9,111.1116108520238,36096.79905998615,0.31,2
16MNCRH,2023,9,110.5280624520156,36096.79905998615,0.31,2
42CRMO4,2023,9,112.2327114925301,36096.79905998615,0.31,2
SAE1141,2023,9,112.5991422478838,36096.79905998615,0.31,2
S45CS1V,2023,9,108.0698394829324,36096.79905998615,0.3,2
SUP9A,2023,9,108.52027729710801,36096.79905998615,0.3,2
SAE1541M,2023,9,107.5288408930729,36096.79905998615,0.3,2
C38N,2023,9,109.6668193742943,36096.79905998615,0.3,2
C38M,2023,9,109.3957667076586,36096.79905998615,0.3,2
38MNSIVS5,2023,9,104.7088621035256,36096.79905998615,0.29,2
45CP3,2023,9,105.6560422385262,36096.79905998615,0.29,2
SAE8720M,2023,9,104.5843184486335,36096.79905998615,0.29,2
C15PBK,2023,9,103.37482854625631,36096.79905998615,0.29,2
SAE8720,2023,9,103.1307624970622,36096.79905998615,0.29,2
LF2,2023,9,103.600435229019,36096.79905998615,0.29,2
ST52,2023,9,103.7634344345361,36096.79905998615,0.29,2
C56E2,2023,9,105.3769445090942,36096.79905998615,0.29,2
40CR4B,2023,9,104.90908929769131,36096.79905998615,0.29,2
42CRMOS4,2023,9,102.42959646889031,36096.79905998615,0.28,2
SAE15B41,2023,9,99.31809680825259,36096.79905998615,0.28,2
AISI434MNH,2023,9,60.0799099851244,36096.79905998615,0.17,1
20MOCR4,2023,9,60.8899513959547,36096.79905998615,0.17,1
SAE8620,2023,9,60.4482890359003,36096.79905998615,0.17,1
10601C60,2023,9,57.5521472301423,36096.79905998615,0.16,1
VS13113,2023,9,56.5536936927757,36096.79905998615,0.16,1
AISI435MOH,2023,9,58.4355502023439,36096.79905998615,0.16,1
385MNVS6,2023,9,56.7218119583511,36096.79905998615,0.16,1
VS13111,2023,9,56.2157782981843,36096.79905998615,0.16,1
60SICR7,2023,9,57.8844145527614,36096.79905998615,0.16,1
R10S10U,2023,9,59.0808884901856,36096.79905998615,0.16,1
R16,2023,9,59.3986833396426,36096.79905998615,0.16,1
C60K,2023,9,56.1487010205513,36096.79905998615,0.16,1
C60,2023,9,55.6102357079962,36096.79905998615,0.15,1
36MNVS6,2023,9,54.532193719142,36096.79905998615,0.15,1
S45CP3,2023,9,53.9245903309263,36096.79905998615,0.15,1
SAE8650,2023,9,54.3226359312683,36096.79905998615,0.15,1
266GRADE2,2023,9,53.0110418315183,36096.79905998615,0.15,1
SCM420,2023,9,54.8577992158949,36096.79905998615,0.15,1
C43,2023,9,55.515823171882,36096.79905998615,0.15,1
SAE4140,2023,9,52.7522010614847,36096.79905998615,0.15,1
40CAD612PB,2023,9,53.6053814163968,36096.79905998615,0.15,1
C45R,2023,9,52.8706220686798,36096.79905998615,0.15,1
SA350LF2,2023,9,55.145234209859,36096.79905998615,0.15,1
SA266,2023,9,53.9013748095147,36096.79905998615,0.15,1
5150N,2023,9,53.8794475692067,36096.79905998615,0.15,1
C10,2023,9,52.7155403837332,36096.79905998615,0.15,1
34CRNIMO6,2023,9,49.9783028722164,36096.79905998615,0.14,1
S55,2023,9,51.8624463462224,36096.79905998615,0.14,1
15B25,2023,9,49.9630632973644,36096.79905998615,0.14,1
SS400,2023,9,50.1679757011305,36096.79905998615,0.14,1
46S20N,2023,9,49.4428699075024,36096.79905998615,0.14,1
SAE8620H,2023,9,51.8591859754796,36096.79905998615,0.14,1
2NI2CRMO,2023,9,51.3462970078705,36096.79905998615,0.14,1
S40C,2023,9,51.7562674447416,36096.79905998615,0.14,1
C10C,2023,9,49.665441790999,36096.79905998615,0.14,1
C40MOD2,2023,9,51.7705875380325,36096.79905998615,0.14,1
CF53,2023,9,49.8104214987406,36096.79905998615,0.14,1
AISI434MO,2023,9,52.0686576849442,36096.79905998615,0.14,1
GTD450,2023,9,48.1300240186809,36096.79905998615,0.13,1
C45GPB,2023,9,48.1300240186809,36096.79905998615,0.13,1
ICSS1218,2023,9,48.1300240186809,36096.79905998615,0.13,1
44MNSIV56,2023,9,48.1300240186809,36096.79905998615,0.13,1
16MN5CR4,2023,9,48.1300240186809,36096.79905998615,0.13,1
25CRMO4,2023,9,48.1300240186809,36096.79905998615,0.13,1
SAE9310,2023,9,48.1300240186809,36096.79905998615,0.13,1
S48CS1V,2023,8,2639.6439324897087,40592.58496195577,6.5,47
SAE52100,2023,8,2181.7742187594495,40592.58496195577,5.37,39
SUP9,2023,8,1361.269194079896,40592.58496195577,3.35,25
B14,2023,8,1290.516665814636,40592.58496195577,3.18,24
20MNCR5,2023,8,1267.8318348848327,40592.58496195577,3.12,23
R16,2023,8,1187.7903154736057,40592.58496195577,2.93,22
16MNCR5,2023,8,1110.8242949684131,40592.58496195577,2.74,20
SCM420HV,2023,8,1087.1216716211957,40592.58496195577,2.68,19
SCR420HV,2023,8,1009.0253511850009,40592.58496195577,2.49,18
SCM415HV,2023,8,996.1356893035677,40592.58496195577,2.45,17
38MNVS6,2023,8,958.3078456591505,40592.58496195577,2.36,17
S48C,2023,8,949.1416263915115,40592.58496195577,2.34,17
41CR4,2023,8,913.1763372943075,40592.58496195577,2.25,16
GRADE3,2023,8,812.3933068112524,40592.58496195577,2,14
SSR550,2023,8,807.3318084590244,40592.58496195577,1.99,15
SAE1050,2023,8,796.9946694865918,40592.58496195577,1.96,14
44MNSIVS6,2023,8,795.0618344421013,40592.58496195577,1.96,14
45C8,2023,8,754.8503985105252,40592.58496195577,1.86,14
60SI7,2023,8,716.6366537602806,40592.58496195577,1.77,13
15B41,2023,8,649.9249914929605,40592.58496195577,1.6,11
C45RPB,2023,8,615.0132746239719,40592.58496195577,1.52,12
S45CS1QDS,2023,8,603.974228430912,40592.58496195577,1.49,11
38MNVS5,2023,8,585.4881320897617,40592.58496195577,1.44,10
27MNCRB5,2023,8,577.627883263478,40592.58496195577,1.42,10
51CRV4,2023,8,566.4318151392349,40592.58496195577,1.4,10
16MNCR5LSI,2023,8,549.3722759527701,40592.58496195577,1.35,10
38MNS6,2023,8,514.6314944971591,40592.58496195577,1.27,9
S35C,2023,8,489.60949575345666,40592.58496195577,1.21,9
100CR6,2023,8,404.99716203802217,40592.58496195577,1,7
SUP11A,2023,8,399.8318892553421,40592.58496195577,0.98,7
12L14,2023,8,391.2575372806573,40592.58496195577,0.96,7
SAE9254,2023,8,388.1989097086662,40592.58496195577,0.96,7
DY7,2023,8,355.1704814497778,40592.58496195577,0.87,6
56SICR7,2023,8,349.67680475965045,40592.58496195577,0.86,6
EN52,2023,8,349.331431824118,40592.58496195577,0.86,6
SUP6,2023,8,336.4251099131796,40592.58496195577,0.83,6
52CRMOV4,2023,8,334.1800213209563,40592.58496195577,0.82,6
Unknown,2023,8,307.5581330594458,40592.58496195577,0.76,6
C38M,2023,8,290.061093707914,40592.58496195577,0.71,5
SAE1541M,2023,8,285.8880380770763,40592.58496195577,0.7,5
SAE15B41,2023,8,280.8626159342041,40592.58496195577,0.69,5
25MOCR4,2023,8,280.3679597378065,40592.58496195577,0.69,5
EN1A,2023,8,275.5892830331274,40592.58496195577,0.68,5
38B3,2023,8,235.6883781275344,40592.58496195577,0.58,4
SUP11,2023,8,233.0309520987701,40592.58496195577,0.57,4
SAE1018,2023,8,228.3140794859475,40592.58496195577,0.56,4
52CR4MO2V,2023,8,222.5211152492069,40592.58496195577,0.55,4
40CR4C,2023,8,220.5680402459987,40592.58496195577,0.54,4
S45C,2023,8,215.4180886414916,40592.58496195577,0.53,4
16MNCR5D,2023,8,176.5903949486165,40592.58496195577,0.44,3
SCM420H,2023,8,175.6713948676566,40592.58496195577,0.43,3
EN18D,2023,8,176.124737895204,40592.58496195577,0.43,3
38MNSIVS5,2023,8,170.78083979021932,40592.58496195577,0.42,3
S53C,2023,8,169.67163450041488,40592.58496195577,0.42,3
SCR420H,2023,8,166.1801880518898,40592.58496195577,0.41,3
SCM420IYM,2023,8,167.2562103702561,40592.58496195577,0.41,3
EN8C,2023,8,165.9917368001204,40592.58496195577,0.41,3
SAE1015,2023,8,167.1963042827377,40592.58496195577,0.41,3
SUP11AM,2023,8,162.6595793257694,40592.58496195577,0.4,3
SAE8620,2023,8,161.0414653730956,40592.58496195577,0.4,3
VS13113SU,2023,8,157.1060813485251,40592.58496195577,0.39,3
C70S6,2023,8,158.1980382904675,40592.58496195577,0.39,3
AISI430L,2023,8,159.7677940695274,40592.58496195577,0.39,3
AISI410,2023,8,155.82161553382218,40592.58496195577,0.38,3
EN353,2023,8,154.9486852978247,40592.58496195577,0.38,3
AISI420,2023,8,155.4235993175893,40592.58496195577,0.38,3
46MNVS5,2023,8,120.3205380896774,40592.58496195577,0.3,2
SAE4140,2023,8,117.1833618800522,40592.58496195577,0.29,2
SAE1030,2023,8,112.949168185256,40592.58496195577,0.28,2
44MN1VS6,2023,8,112.1351559835086,40592.58496195577,0.28,2
40MNVS6,2023,8,112.00964521629339,40592.58496195577,0.28,2
S43C,2023,8,112.8672775145904,40592.58496195577,0.28,2
SAE1040,2023,8,111.86356239112419,40592.58496195577,0.28,2
EN8D,2023,8,112.0522713035039,40592.58496195577,0.28,2
30MNVS6,2023,8,114.8713408404562,40592.58496195577,0.28,2
S45CSQDS,2023,8,111.907594089672,40592.58496195577,0.28,2
EN8M,2023,8,114.4449877071601,40592.58496195577,0.28,2
434MNHS,2023,8,114.5088669961941,40592.58496195577,0.28,2
S40C,2023,8,109.8252788660736,40592.58496195577,0.27,2
94B17H,2023,8,110.2194808445892,40592.58496195577,0.27,2
S25C,2023,8,106.9652377819627,40592.58496195577,0.26,2
SGD400,2023,8,105.9549149766577,40592.58496195577,0.26,2
SAE4135,2023,8,104.36726490712991,40592.58496195577,0.26,2
SCM420H2V2,2023,8,105.0509779838936,40592.58496195577,0.26,2
22MN6,2023,8,106.7874692060614,40592.58496195577,0.26,2
SCM420H3V2,2023,8,100.74266152479629,40592.58496195577,0.25,2
SAE8720M,2023,8,99.751769233302,40592.58496195577,0.25,2
EN19C,2023,8,101.6372002752927,40592.58496195577,0.25,2
GTD450,2023,8,96.2600480373618,40592.58496195577,0.24,2
16MNCRS5,2023,8,98.6495291030911,40592.58496195577,0.24,2
AISI434MOI,2023,8,59.5384891404848,40592.58496195577,0.15,1
25MO2V,2023,8,62.7570815557518,40592.58496195577,0.15,1
15B25,2023,8,62.7570815557518,40592.58496195577,0.15,1
SCM415,2023,8,59.131751818721,40592.58496195577,0.15,1
38MNSIVS6,2023,8,60.2939124634025,40592.58496195577,0.15,1
AISI434MO1,2023,8,56.0389192682931,40592.58496195577,0.14,1
350LF6,2023,8,55.3343909574342,40592.58496195577,0.14,1
C45MO2,2023,8,58.0058650463292,40592.58496195577,0.14,1
SAE1117,2023,8,54.8798899105634,40592.58496195577,0.14,1
SAE1026,2023,8,55.3501725242216,40592.58496195577,0.14,1
SS35C,2023,8,56.1275283184076,40592.58496195577,0.14,1
R10S10V,2023,8,58.8426990114926,40592.58496195577,0.14,1
AISI416,2023,8,55.1446787026749,40592.58496195577,0.14,1
EN45A,2023,8,56.4732937787672,40592.58496195577,0.14,1
SAE1141,2023,8,55.3807056194501,40592.58496195577,0.14,1
AI434MO1,2023,8,52.5081781535662,40592.58496195577,0.13,1
AISI434MOL,2023,8,53.0021909040389,40592.58496195577,0.13,1
SCM420,2023,8,54.1619846118192,40592.58496195577,0.13,1
EN19,2023,8,52.1876279242191,40592.58496195577,0.13,1
18MF5,2023,8,50.9217145129037,40592.58496195577,0.13,1
SUP9AM,2023,8,54.669639000756,40592.58496195577,0.13,1
C45,2023,8,52.6837684444954,40592.58496195577,0.13,1
S48CS,2023,8,51.4648618366653,40592.58496195577,0.13,1
40MNSIVS6,2023,8,53.4003060553863,40592.58496195577,0.13,1
500N,2023,8,51.5219856800681,40592.58496195577,0.13,1
EN14B,2023,8,51.9668919597347,40592.58496195577,0.13,1
SAE5150,2023,8,54.7759815454418,40592.58496195577,0.13,1
10B21,2023,8,51.5180580133023,40592.58496195577,0.13,1
SCM435,2023,8,52.9873906752089,40592.58496195577,0.13,1
60SICR8,2023,8,53.0304285047,40592.58496195577,0.13,1
20MOCR4,2023,8,53.6346844551111,40592.58496195577,0.13,1
ST523,2023,8,53.3896646955665,40592.58496195577,0.13,1
C45MOD2,2023,8,49.1438643962884,40592.58496195577,0.12,1
C56E2,2023,8,48.1300240186809,40592.58496195577,0.12,1
SAE1010,2023,8,48.1300240186809,40592.58496195577,0.12,1
35C8,2023,8,48.1300240186809,40592.58496195577,0.12,1
X22CRMOV12L,2023,8,48.5749402696355,40592.58496195577,0.12,1
